pelatihan_id,kode_pelatihan,dibuat_oleh_admin_id,jenis_pelatihan_id,status_pelatihan_id,judul_pelatihan,deskripsi_pelatihan,mentor_nama,durasi_jam,total_modul,harga,akses_seumur_hidup,masa_akses_hari,rating_rata_rata,jumlah_alumni,thumbnail_url,syarat_ketentuan,tanggal_publish,is_deleted,deleted_at,archived_at,created_at,updated_at
PLT000001,PLT-2026-00001,ADM000244,JP01,ARCHIVED,Pembukuan Praktis untuk UMKM - Kelas Proyek,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait pembukuan praktis untuk umkm - kelas proyek. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Annisa Herfina,6,4,0,true,60,4.74,151,https://cdn.umkmtumbuh.local/training/plt000001.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2026-05-16 03:35:25,false,,2027-05-11 03:35:25,2026-04-20 03:35:25,2026-07-29 03:35:25
PLT000002,PLT-2026-00002,ADM000117,JP02,ONGOING,Strategi Pemasaran Digital - Kelas Proyek,Program pendampingan singkat untuk UMKM yang ingin menerapkan strategi pemasaran digital - kelas proyek secara praktis melalui modul bertahap dan unggahan tugas proyek.,Lois Hermawan,7,5,0,false,365,4.70,321,https://cdn.umkmtumbuh.local/training/plt000002.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-10-13 13:14:50,false,,,2024-10-04 13:14:50,2024-12-30 13:14:50
PLT000003,PLT-2026-00003,ADM000069,JP03,PUBLISHED,Foto Produk dan Katalog Online - Praktis,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam foto produk dan katalog online - praktis. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Satria Hakim,5,7,0,true,365,4.71,813,https://cdn.umkmtumbuh.local/training/plt000003.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2025-06-27 13:31:25,false,,,2025-06-04 13:31:25,2025-08-09 13:31:25
PLT000004,PLT-2026-00004,ADM000100,JP04,ARCHIVED,Legalitas dan Dokumen Usaha - Terapan,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait legalitas dan dokumen usaha - terapan. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Bahlil Maharani,3,4,0,true,30,4.41,645,https://cdn.umkmtumbuh.local/training/plt000004.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2024-06-29 21:18:32,false,,2026-03-17 21:18:32,2024-05-28 21:18:32,2024-07-08 21:18:32
PLT000005,PLT-2026-00005,ADM000040,JP05,ONGOING,Persiapan Sertifikasi Halal - Terapan,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi persiapan sertifikasi halal - terapan disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Rizal Prasetyo,3,5,0,true,365,4.76,371,https://cdn.umkmtumbuh.local/training/plt000005.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2025-12-31 23:14:27,false,,,2025-12-22 23:14:27,2026-03-21 23:14:27
PLT000006,PLT-2026-00006,ADM000231,JP06,PUBLISHED,Pembukuan dan Harga Pokok Produksi - Kelas Proyek,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi pembukuan dan harga pokok produksi - kelas proyek disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Gilang Purnomo,10,7,0,true,30,4.80,664,https://cdn.umkmtumbuh.local/training/plt000006.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2025-02-20 03:22:37,false,,,2025-02-13 03:22:37,2025-03-17 03:22:37
PLT000007,PLT-2026-00007,ADM000190,JP07,ARCHIVED,Optimasi Marketplace - Intensif,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam optimasi marketplace - intensif. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Ayu Anwar,3,4,0,true,180,4.41,652,https://cdn.umkmtumbuh.local/training/plt000007.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2024-09-16 04:23:12,false,,2025-08-15 04:23:12,2024-08-21 04:23:12,2024-12-11 04:23:12
PLT000008,PLT-2026-00008,ADM000218,JP08,PUBLISHED,Ekspor Pemula untuk Produk Lokal - Pemula,Program pendampingan singkat untuk UMKM yang ingin menerapkan ekspor pemula untuk produk lokal - pemula secara praktis melalui modul bertahap dan unggahan tugas proyek.,Rendra Astuti,5,4,0,false,30,4.54,918,https://cdn.umkmtumbuh.local/training/plt000008.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2024-06-27 05:21:21,false,,,2024-05-24 05:21:21,2024-08-01 05:21:21
PLT000009,PLT-2026-00009,ADM000081,JP09,ONGOING,Desain Kemasan dan Branding - Mandiri,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait desain kemasan dan branding - mandiri. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Titin Artanti,10,8,0,false,30,4.39,909,https://cdn.umkmtumbuh.local/training/plt000009.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2024-12-31 06:14:29,false,,,2024-12-18 06:14:29,2025-01-08 06:14:29
PLT000010,PLT-2026-00010,ADM000136,JP10,PUBLISHED,Customer Service dan Retensi Pelanggan - Batch UMKM,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait customer service dan retensi pelanggan - batch umkm. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Khusnul Cahyono,7,8,0,true,90,4.86,435,https://cdn.umkmtumbuh.local/training/plt000010.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-11-30 01:16:43,false,,,2025-11-17 01:16:43,2026-01-19 01:16:43
PLT000011,PLT-2026-00011,ADM000163,JP11,PUBLISHED,Operasional Produksi Efisien - Batch UMKM,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait operasional produksi efisien - batch umkm. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Wulan Mutmainah,12,8,0,false,30,4.91,645,https://cdn.umkmtumbuh.local/training/plt000011.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-11-30 04:57:03,false,,,2024-10-23 04:57:03,2025-01-28 04:57:03
PLT000012,PLT-2026-00012,ADM000150,JP12,PUBLISHED,Branding UMKM dan Pitching - Mandiri,Program pendampingan singkat untuk UMKM yang ingin menerapkan branding umkm dan pitching - mandiri secara praktis melalui modul bertahap dan unggahan tugas proyek.,Mursid Kusumawati,5,4,0,false,180,4.46,935,https://cdn.umkmtumbuh.local/training/plt000012.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2025-08-20 17:25:11,false,,,2025-07-12 17:25:11,2025-09-22 17:25:11
PLT000013,PLT-2026-00013,ADM000145,JP01,ONGOING,Pembukuan Praktis untuk UMKM - Praktis,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi pembukuan praktis untuk umkm - praktis disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Nur Nuraini,14,8,0,false,90,4.18,327,https://cdn.umkmtumbuh.local/training/plt000013.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2024-12-15 15:19:57,false,,,2024-11-19 15:19:57,2025-01-02 15:19:57
PLT000014,PLT-2026-00014,ADM000114,JP02,PUBLISHED,Strategi Pemasaran Digital - Kelas Proyek,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi strategi pemasaran digital - kelas proyek disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Putri Nugroho,8,6,0,true,180,4.61,613,https://cdn.umkmtumbuh.local/training/plt000014.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2025-05-20 10:29:48,false,,,2025-04-24 10:29:48,2025-07-30 10:29:48
PLT000015,PLT-2026-00015,ADM000017,JP03,PUBLISHED,Foto Produk dan Katalog Online - Intensif,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi foto produk dan katalog online - intensif disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Aulia Ningsih,6,4,0,true,180,4.87,695,https://cdn.umkmtumbuh.local/training/plt000015.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2024-12-02 09:04:10,false,,,2024-11-05 09:04:10,2025-01-19 09:04:10
PLT000016,PLT-2026-00016,ADM000244,JP04,ARCHIVED,Legalitas dan Dokumen Usaha - Kelas Proyek,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam legalitas dan dokumen usaha - kelas proyek. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Teguh Fitriani,5,4,0,true,180,4.86,226,https://cdn.umkmtumbuh.local/training/plt000016.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-02-12 20:32:11,false,,2026-01-03 20:32:11,2025-01-23 20:32:11,2025-03-25 20:32:11
PLT000017,PLT-2026-00017,ADM000170,JP05,DRAFT,Persiapan Sertifikasi Halal - Terapan,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi persiapan sertifikasi halal - terapan disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Kirana Azarel,9,8,0,true,30,,0,https://cdn.umkmtumbuh.local/training/plt000017.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",,false,,,2024-06-13 16:54:15,2024-08-06 16:54:15
PLT000018,PLT-2026-00018,ADM000077,JP06,ONGOING,Pembukuan dan Harga Pokok Produksi - Intensif,Program pendampingan singkat untuk UMKM yang ingin menerapkan pembukuan dan harga pokok produksi - intensif secara praktis melalui modul bertahap dan unggahan tugas proyek.,Dimas Pangestu,5,6,0,true,60,4.51,466,https://cdn.umkmtumbuh.local/training/plt000018.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2024-09-28 19:12:52,false,,,2024-09-17 19:12:52,2024-09-29 19:12:52
PLT000019,PLT-2026-00019,ADM000183,JP07,DRAFT,Optimasi Marketplace - Batch UMKM,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi optimasi marketplace - batch umkm disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Aditya Maryati,8,8,0,false,30,,0,https://cdn.umkmtumbuh.local/training/plt000019.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",,false,,,2026-01-08 14:59:38,2026-03-23 14:59:38
PLT000020,PLT-2026-00020,ADM000142,JP08,PUBLISHED,Ekspor Pemula untuk Produk Lokal - Pemula,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi ekspor pemula untuk produk lokal - pemula disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Naila Sutrisno,8,7,0,true,180,4.62,1097,https://cdn.umkmtumbuh.local/training/plt000020.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2025-03-24 23:56:28,false,,,2025-02-15 23:56:28,2025-04-16 23:56:28
PLT000021,PLT-2026-00021,ADM000138,JP09,PUBLISHED,Desain Kemasan dan Branding - Intensif,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi desain kemasan dan branding - intensif disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Reza Prakoso,10,6,0,false,90,4.52,411,https://cdn.umkmtumbuh.local/training/plt000021.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2025-03-29 17:11:35,false,,,2025-03-05 17:11:35,2025-06-22 17:11:35
PLT000022,PLT-2026-00022,ADM000078,JP10,ARCHIVED,Customer Service dan Retensi Pelanggan - Batch UMKM,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi customer service dan retensi pelanggan - batch umkm disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Raihan Lestari,8,5,0,false,180,4.66,851,https://cdn.umkmtumbuh.local/training/plt000022.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-10-13 21:29:41,false,,2027-01-11 21:29:41,2025-09-30 21:29:41,2025-12-05 21:29:41
PLT000023,PLT-2026-00023,ADM000146,JP11,ARCHIVED,Operasional Produksi Efisien - Kelas Proyek,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi operasional produksi efisien - kelas proyek disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Viola Maulana,7,5,0,true,365,4.94,317,https://cdn.umkmtumbuh.local/training/plt000023.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2025-12-24 17:02:36,false,,2027-06-12 17:02:36,2025-12-01 17:02:36,2026-02-13 17:02:36
PLT000024,PLT-2026-00024,ADM000159,JP12,PUBLISHED,Branding UMKM dan Pitching - Praktis,Program pendampingan singkat untuk UMKM yang ingin menerapkan branding umkm dan pitching - praktis secara praktis melalui modul bertahap dan unggahan tugas proyek.,Aisyah Mulyani,6,6,0,true,365,4.77,374,https://cdn.umkmtumbuh.local/training/plt000024.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-10-25 12:54:32,false,,,2024-09-16 12:54:32,2024-12-01 12:54:32
PLT000025,PLT-2026-00025,ADM000071,JP01,PUBLISHED,Pembukuan Praktis untuk UMKM - Intensif,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam pembukuan praktis untuk umkm - intensif. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Sofyan Ungu,7,6,0,true,60,4.11,831,https://cdn.umkmtumbuh.local/training/plt000025.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-02-14 01:22:48,false,,,2025-01-09 01:22:48,2025-04-23 01:22:48
