modul_id,pelatihan_id,urutan_modul,judul_modul,deskripsi_modul,durasi_menit,materi_url,is_preview,status_aktif,created_at
MOD000001,PLT000001,1,1. Dasar arus kas,Modul dasar arus kas berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,27,https://cdn.umkmtumbuh.local/materi/plt000001/modul-1.pdf,true,true,2026-05-13 03:35:25
MOD000002,PLT000001,2,2. Pencatatan transaksi harian,Modul pencatatan transaksi harian berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,34,https://cdn.umkmtumbuh.local/materi/plt000001/modul-2.pdf,false,true,2026-05-13 03:35:25
MOD000003,PLT000001,3,3. Laporan laba rugi sederhana,Materi praktik tentang laporan laba rugi sederhana dengan contoh penerapan langsung pada UMKM.,41,https://cdn.umkmtumbuh.local/materi/plt000001/modul-3.pdf,false,true,2026-05-13 03:35:25
MOD000004,PLT000001,4,4. Evaluasi margin usaha,Materi praktik tentang evaluasi margin usaha dengan contoh penerapan langsung pada UMKM.,48,https://cdn.umkmtumbuh.local/materi/plt000001/modul-4.pdf,false,true,2026-05-13 03:35:25
MOD000005,PLT000002,1,1. Segmentasi pelanggan,Modul segmentasi pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,55,https://cdn.umkmtumbuh.local/materi/plt000002/modul-1.pdf,true,true,2024-10-10 13:14:50
MOD000006,PLT000002,2,2. Konten Instagram dan TikTok,Modul konten instagram dan tiktok berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,62,https://cdn.umkmtumbuh.local/materi/plt000002/modul-2.pdf,false,true,2024-10-10 13:14:50
MOD000007,PLT000002,3,3. Kalender promosi,Modul kalender promosi berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,69,https://cdn.umkmtumbuh.local/materi/plt000002/modul-3.pdf,false,true,2024-10-10 13:14:50
MOD000008,PLT000002,4,4. Evaluasi metrik kampanye,Modul evaluasi metrik kampanye berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,21,https://cdn.umkmtumbuh.local/materi/plt000002/modul-4.pdf,false,true,2024-10-10 13:14:50
MOD000009,PLT000002,5,5. Segmentasi pelanggan,Modul segmentasi pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,28,https://cdn.umkmtumbuh.local/materi/plt000002/modul-5.pdf,false,true,2024-10-10 13:14:50
MOD000010,PLT000003,1,1. Pencahayaan dasar,Materi praktik tentang pencahayaan dasar dengan contoh penerapan langsung pada UMKM.,35,https://cdn.umkmtumbuh.local/materi/plt000003/modul-1.pdf,true,true,2025-06-24 13:31:25
