umkm_id,kode_umkm,pelaku_umkm_id,diverifikasi_oleh_admin_id,lokasi_id,jenis_umkm_id,skala_usaha_id,kategori_usaha_id,status_umkm_id,nama_umkm,nib,deskripsi_usaha,produk_utama,tahun_berdiri,nomor_whatsapp,email_bisnis,jam_operasional,media_sosial_marketplace,logo_url,foto_cover_url,status_verified,tanggal_terdaftar,is_deleted,deleted_at,archived_at,created_at,updated_at
UMK000001,UMKM-2026-000001,PLK000001,ADM000091,LOK000014,KECANTIKAN,MENENGAH,KATU06,AKTIF,Bengkel Catering Barokah Hair,2218088003306,"Bengkel Catering Barokah Hair bergerak di bidang kecantikan dengan produk utama Hair Tonic Herbal. Usaha ini fokus pada kualitas produksi, pelayanan pelanggan, dan penguatan pemasaran digital.",Hair Tonic Herbal,2012,085879174102,bengkel-catering-barokah-hair001@umkm.id,Setiap hari 10.00-22.00,Website katalog;Instagram,https://cdn.umkmtumbuh.local/logo/umk000001.webp,https://cdn.umkmtumbuh.local/cover/umk000001.webp,true,2024-05-29,false,,,2024-05-29 01:06:33,2024-07-04 01:06:33
UMK000002,UMKM-2026-000002,PLK000002,ADM000242,LOK000027,KULINER,MIKRO,KATU01,AKTIF,Karya Oleh-Oleh Solo Dimsum,2224412640414,"Karya Oleh-Oleh Solo Dimsum memproduksi dan memasarkan Dimsum Ayam untuk pelanggan lokal serta kanal digital. Pengembangan usaha difokuskan pada legalitas, branding, dan konsistensi kualitas.",Dimsum Ayam,2015,088175009315,karya-oleh-oleh-solo-dimsum.kontak@gmail.com,Setiap hari 10.00-22.00,GrabFood;GoFood,https://cdn.umkmtumbuh.local/logo/umk000002.webp,https://cdn.umkmtumbuh.local/cover/umk000002.webp,true,2024-07-15,false,,,2024-07-15 09:07:43,2024-10-17 09:07:43
UMK000003,UMKM-2026-000003,PLK000003,ADM000040,LOK000040,DIGITAL,KECIL,KATU08,AKTIF,Rumah Produksi Eco Craft Paket,2232353632453,"Rumah Produksi Eco Craft Paket adalah usaha keluarga di sektor digital. Produk utama Paket Reels Produk dipasarkan melalui jaringan pelanggan lokal, reseller, dan kanal promosi digital.",Paket Reels Produk,2021,08569210983,order03.rumah-produksi-eco-craft-paket@outlook.com,Senin-Jumat 09.00-17.00; layanan online 24 jam,Google Business Profile;Website katalog,https://cdn.umkmtumbuh.local/logo/umk000003.webp,https://cdn.umkmtumbuh.local/cover/umk000003.webp,true,2025-05-07,false,,,2025-05-07 01:57:13,2025-05-28 01:57:13
UMK000004,UMKM-2026-000004,PLK000004,ADM000196,LOK000053,KECANTIKAN,MIKRO,KATU06,AKTIF,Sanggar Sinar Baru Face,1242764412861,Sanggar Sinar Baru Face menjalankan usaha kecantikan berbasis pesanan dan penjualan rutin. Produk unggulan Face Mist Mawar dikembangkan agar lebih siap masuk marketplace dan kemitraan.,Face Mist Mawar,2019,085514351150,sanggar-sinar-baru-face.usaha@bisnis.id,Produksi 08.00-15.00; pemesanan online 24 jam,Google Business Profile;Instagram,https://cdn.umkmtumbuh.local/logo/umk000004.webp,https://cdn.umkmtumbuh.local/cover/umk000004.webp,true,2025-02-09,false,,,2025-02-09 13:33:13,2025-03-02 13:33:13
UMK000005,UMKM-2026-000005,PLK000005,ADM000075,LOK000066,FASHION,MIKRO,KATU02,AKTIF,Lapak Rasa Nusantara Outer,9153559011789,"Lapak Rasa Nusantara Outer merupakan UMKM fashion yang mengembangkan Outer Tenun. Kegiatan usaha diarahkan pada peningkatan kapasitas produksi, kemasan, dan penjualan online.",Outer Tenun,2023,089685368698,info05.lapak-rasa-nusantara-outer@yahoo.co.id,Produksi 08.00-15.00; pemesanan online 24 jam,Shopee;Tokopedia;Instagram,https://cdn.umkmtumbuh.local/logo/umk000005.webp,https://cdn.umkmtumbuh.local/cover/umk000005.webp,true,2024-05-02,false,,,2024-05-02 04:13:27,2024-05-30 04:13:27
UMK000006,UMKM-2026-000006,PLK000006,ADM000163,LOK000079,JASA,MIKRO,KATU05,AKTIF,Studio Kopi Kartasura Servis,1861443629796,"Studio Kopi Kartasura Servis adalah usaha keluarga di sektor jasa. Produk utama Servis AC Rumahan dipasarkan melalui jaringan pelanggan lokal, reseller, dan kanal promosi digital.",Servis AC Rumahan,2014,085674967162,studio-kopi-kartasura-servis.kemitraan@mail.com,Senin-Sabtu 08.00-17.00,ShopeeFood;WhatsApp Business,https://cdn.umkmtumbuh.local/logo/umk000006.webp,https://cdn.umkmtumbuh.local/cover/umk000006.webp,true,2024-07-01,false,,,2024-07-01 21:04:32,2024-08-17 21:04:32
UMK000007,UMKM-2026-000007,PLK000007,ADM000117,LOK000092,KULINER,KECIL,KATU01,AKTIF,Pawon Rajut Cantik Kacang,3175137347930,"Pawon Rajut Cantik Kacang adalah usaha keluarga di sektor kuliner. Produk utama Kacang Bawang dipasarkan melalui jaringan pelanggan lokal, reseller, dan kanal promosi digital.",Kacang Bawang,2025,08534970638,kemitraan.pawon-rajut-cantik-kacang@icloud.com,By appointment melalui WhatsApp,GrabFood;GoFood,https://cdn.umkmtumbuh.local/logo/umk000007.webp,https://cdn.umkmtumbuh.local/cover/umk000007.webp,true,2024-01-04,false,,,2024-01-04 18:56:15,2024-03-18 18:56:15
UMK000008,UMKM-2026-000008,PLK000008,ADM000054,LOK000105,KRIYA,MIKRO,KATU03,AKTIF,Dapur Kue Tradisi Tas,,"Dapur Kue Tradisi Tas merupakan UMKM kriya yang mengembangkan Tas Ecoprint. Kegiatan usaha diarahkan pada peningkatan kapasitas produksi, kemasan, dan penjualan online.",Tas Ecoprint,2021,081118923276,cs08.dapur-kue-tradisi-tas@bisnis.id,By appointment melalui WhatsApp,Instagram;WhatsApp Business,https://cdn.umkmtumbuh.local/logo/umk000008.webp,https://cdn.umkmtumbuh.local/cover/umk000008.webp,true,2024-11-06,false,,,2024-11-06 06:09:38,2025-01-26 06:09:38
UMK000009,UMKM-2026-000009,PLK000009,ADM000195,LOK000118,FASHION,KECIL,KATU02,AKTIF,Koperasi Berkah Kaos,2297204541522,"Koperasi Berkah Kaos merupakan UMKM fashion yang mengembangkan Kaos Sablon. Kegiatan usaha diarahkan pada peningkatan kapasitas produksi, kemasan, dan penjualan online.",Kaos Sablon,2014,081183186024,sales.koperasi-berkah-kaos@yahoo.co.id,Setiap hari 10.00-22.00,GrabFood;GoFood,https://cdn.umkmtumbuh.local/logo/umk000009.webp,https://cdn.umkmtumbuh.local/cover/umk000009.webp,true,2025-01-14,false,,,2025-01-14 02:06:00,2025-01-17 02:06:00
UMK000010,UMKM-2026-000010,PLK000010,ADM000044,LOK000131,KULINER,MIKRO,KATU01,AKTIF,Depot Mandiri Bumbu,,Depot Mandiri Bumbu menjalankan usaha kuliner berbasis pesanan dan penjualan rutin. Produk unggulan Bumbu Pecel dikembangkan agar lebih siap masuk marketplace dan kemitraan.,Bumbu Pecel,2017,088282598328,sales-depot-mandiri-bumbu@bisnis.id,Selasa-Minggu 10.00-22.00,Instagram,https://cdn.umkmtumbuh.local/logo/umk000010.webp,https://cdn.umkmtumbuh.local/cover/umk000010.webp,true,2024-05-19,false,,,2024-05-19 00:54:34,2024-07-17 00:54:34
UMK000011,UMKM-2026-000011,PLK000011,ADM000128,LOK000144,JASA,MIKRO,KATU05,AKTIF,Galeri Kriya Indah Laundry,9115828883149,"Galeri Kriya Indah Laundry merupakan UMKM jasa yang mengembangkan Laundry Kiloan. Kegiatan usaha diarahkan pada peningkatan kapasitas produksi, kemasan, dan penjualan online.",Laundry Kiloan,2025,082367718713,halo-galeri-kriya-indah-laundry@outlook.com,Senin-Sabtu 08.00-17.00,ShopeeFood;WhatsApp Business,https://cdn.umkmtumbuh.local/logo/umk000011.webp,https://cdn.umkmtumbuh.local/cover/umk000011.webp,true,2024-04-06,false,,,2024-04-06 10:23:09,2024-07-19 10:23:09
UMK000012,UMKM-2026-000012,PLK000012,ADM000046,LOK000157,JASA,MIKRO,KATU05,AKTIF,Workshop Digital Kreatif Paket,1827901643799,Workshop Digital Kreatif Paket menjalankan usaha jasa berbasis pesanan dan penjualan rutin. Produk unggulan Paket Catering Event dikembangkan agar lebih siap masuk marketplace dan kemitraan.,Paket Catering Event,2019,0812408474385,sales-workshop-digital-kreatif-paket@yahoo.co.id,Senin-Jumat 09.00-17.00; Sabtu 09.00-13.00,Website katalog;WhatsApp Business,https://cdn.umkmtumbuh.local/logo/umk000012.webp,https://cdn.umkmtumbuh.local/cover/umk000012.webp,true,2025-07-09,false,,,2025-07-09 04:51:28,2025-07-16 04:51:28
UMK000013,UMKM-2026-000013,PLK000013,ADM000023,LOK000170,DIGITAL,KECIL,KATU08,AKTIF,Kedai Rempah Nusantara Template,1229447113625,Kedai Rempah Nusantara Template menjalankan usaha digital berbasis pesanan dan penjualan rutin. Produk unggulan Template Invoice Digital dikembangkan agar lebih siap masuk marketplace dan kemitraan.,Template Invoice Digital,2023,088242738878,usaha13.kedai-rempah-nusantara-template@umkm.id,Senin-Sabtu 07.30-16.30,Website katalog;Instagram,https://cdn.umkmtumbuh.local/logo/umk000013.webp,https://cdn.umkmtumbuh.local/cover/umk000013.webp,true,2025-07-23,false,,,2025-07-23 05:39:52,2025-08-11 05:39:52
