assignment_id,pelatihan_id,judul_assignment,deskripsi_assignment,instruksi_submission,due_days_after_enroll,status_aktif,created_at
ASN000001,PLT000001,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",14,true,2024-01-15 08:00:00
ASN000002,PLT000001,Analisis laba rugi satu bulan,Project file-upload: Analisis laba rugi satu bulan. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",20,true,2024-01-21 08:00:00
ASN000003,PLT000002,Rencana konten 14 hari,"Studi kasus terapan: Rencana konten 14 hari. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",12,true,2024-01-13 08:00:00
ASN000004,PLT000002,Laporan evaluasi kampanye digital,Project file-upload: Laporan evaluasi kampanye digital. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",23,true,2024-01-24 08:00:00
ASN000005,PLT000002,Rencana konten 14 hari,Tugas proyek: Rencana konten 14 hari. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",29,true,2024-01-30 08:00:00
ASN000006,PLT000003,Portofolio foto produk,"Studi kasus terapan: Portofolio foto produk. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",14,true,2024-01-15 08:00:00
ASN000007,PLT000003,Katalog digital siap unggah,Tugas proyek: Katalog digital siap unggah. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",18,true,2024-01-19 08:00:00
ASN000008,PLT000003,Portofolio foto produk,Project file-upload: Portofolio foto produk. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",28,true,2024-01-29 08:00:00
ASN000009,PLT000004,Checklist legalitas usaha,Tugas proyek: Checklist legalitas usaha. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",17,true,2024-01-18 08:00:00
ASN000010,PLT000005,Dokumen bahan dan pemasok,Project file-upload: Dokumen bahan dan pemasok. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",17,true,2024-01-18 08:00:00
